date,Open,Q,H,Close,Volume,Close_time,Qoute_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
1636752600000,64177.06000000,64177.06000000,64118.48000000,64152.37000000,1.12271400,1636752899999,72014.19407084,174,1.01694200,65230.56129304,0
1636752900000,64152.50000000,64237.74000000,64152.50000000,64237.74000000,0.84654700,1636753199999,54346.05893725,159,0.84384800,54172.80081958,0
1636753200000,64233.65000000,64279.23000000,63865.94000000,64222.20000000,2.08645700,1636753499999,133919.71922257,280,0.90534900,58155.01585452,0
1636753500000,64239.35000000,64241.83000000,63865.94000000,64085.66000000,1.25537700,1636753799999,80555.59472544,190,1.15105700,73886.01844676,0
1636753800000,64082.85000000,64108.12000000,63996.94000000,64059.75000000,0.65439500,1636754099999,41918.96585262,127,0.51710400,33126.63233323,0
1636754100000,64059.81000000,64119.37000000,64013.92000000,64074.45000000,0.70628000,1636754399999,45236.29935011,127,0.60087800,38486.59909050,0
1636754400000,64069.99000000,64163.50000000,61033.32000000,64145.44000000,4.30049000,1636754699999,273109.30979123,189,2.45293900,157338.93036255,0
1636754700000,64145.44000000,64191.44000000,64036.55000000,64187.60000000,0.94188200,1636754999999,60415.23749323,162,0.93045400,59682.10553401,0
1636755000000,64180.65000000,64189.22000000,64071.01000000,64071.01000000,0.73960800,1636755299999,47436.75816120,111,0.50729800,32533.42895742,0
1636755300000,64066.86000000,64240.22000000,62246.01000000,64018.15000000,3.70565600,1636755599999,235986.47897336,277,1.91639400,122819.54549003,0
1636755600000,64018.15000000,64135.21000000,64014.39000000,64135.21000000,0.96829200,1636755899999,62032.22620346,130,0.72426000,46398.20986100,0
1636755900000,64137.00000000,64137.09000000,64036.13000000,64036.13000000,0.26770000,1636756199999,17156.50913622,48,0.25451600,16311.63659149,0
1636756200000,64036.12000000,64095.21000000,64036.12000000,64085.37000000,0.66688300,1636756499999,42723.96275948,104,0.64126900,41083.38070686,0
1636756500000,64084.01000000,64084.01000000,64052.56000000,64053.46000000,0.14477900,1636756799999,9275.48941410,28,0.13320300,8533.78313202,0
1636756800000,64047.20000000,64064.61000000,64000.01000000,64064.61000000,0.33736200,1636757099999,21600.18598434,56,0.32749500,20968.52020289,0
1636757100000,64067.13000000,64067.95000000,63841.86000000,63894.85000000,0.51489000,1636757399999,32921.78740452,100,0.46992200,30046.04964742,0
1636757400000,63882.81000000,63893.53000000,63745.55000000,63804.61000000,0.90449900,1636757699999,57702.04841133,158,0.58108600,37075.98401875,0
1636757700000,63804.60000000,63923.91000000,63796.71000000,63923.91000000,0.63970900,1636757999999,40842.92940291,116,0.59003800,37673.85306816,0
1636758000000,63901.57000000,64027.92000000,63894.79000000,63971.93000000,1.26540000,1636758299999,80951.73664143,218,1.12845800,72189.02254769,0
1636758300000,63970.87000000,64035.04000000,63953.78000000,63984.68000000,0.71510700,1636758599999,45769.66388516,144,0.70307000,44999.02593116,0
1636758600000,63989.03000000,64490.47000000,63972.41000000,63999.73000000,1.48639700,1636758899999,95384.01488780,165,1.48485900,95285.59984350,0
1636758900000,63996.74000000,64073.42000000,63879.00000000,63886.30000000,0.49817800,1636759199999,31881.84511575,102,0.48737700,31190.77312483,0
1636759200000,63888.20000000,63915.48000000,63888.20000000,63903.64000000,0.43242100,1636759499999,27632.40203794,71,0.43134500,27563.64402932,0
1636759500000,63900.54000000,63994.81000000,63900.54000000,63991.66000000,0.55827400,1636759799999,35694.55650233,99,0.55772900,35659.71739368,0
1636759800000,63992.96000000,64093.18000000,63992.96000000,64055.21000000,0.65964700,1636760099999,42253.10081500,116,0.65752900,42117.41867963,0
