Open_time,Open,High,Close,Volume,Close_time,Qoute_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
1633064400000,43811.20000000,43854.70000000,43292.96000000,43848.66000000,2.25637400,1633067999999,98853.26501843,152,1.12928000,49452.01427264,0
1633068000000,43850.33000000,44036.24000000,39977.15000000,43995.10000000,14.54799700,1633071599999,638704.12114377,1798,13.84040000,607660.02721644,0
1633071600000,43993.98000000,70000.00000000,9000.00000000,44789.52000000,72.53373300,1633075199999,3222665.11502080,6184,41.62626300,1843742.27571060,0
1633075200000,44789.52000000,49356.24000000,40782.46000000,45116.48000000,98.34997900,1633078799999,4398644.22242785,7788,52.60014500,2352332.33347658,0
1633078800000,44945.81000000,50000.00000000,42270.20000000,44886.12000000,98.34620100,1633082399999,4415583.53397252,8100,50.05837000,2247738.48425391,0
1633082400000,44901.50000000,49999.92000000,44780.28000000,47090.73000000,35.12500900,1633085999999,1612307.48015955,4102,26.71842000,1232952.25362495,0
1633086000000,47082.64000000,50000.00000000,43907.30000000,47486.29000000,72.41068300,1633089599999,3422701.46589395,7825,42.67748300,2018389.88353340,0
1633089600000,47486.29000000,48232.57000000,43907.30000000,47201.24000000,73.03078900,1633093199999,3468290.37681017,8802,42.11467600,1999874.24780326,0
1633093200000,47214.38000000,50000.00000000,40782.46000000,46979.68000000,85.86304900,1633096799999,4028915.23876964,8097,47.95525900,2247277.87608267,0
1633096800000,46982.79000000,50000.00000000,43907.30000000,47121.13000000,91.86436500,1633100399999,4322082.54536642,8323,51.38997100,2416297.65608041,0
1633100400000,47123.77000000,50000.00000000,46960.00000000,47573.13000000,84.51861300,1633103999999,3999367.63974464,8460,45.48158100,2151206.95369391,0
1633104000000,47363.69000000,50000.00000000,43907.30000000,47552.54000000,93.04668600,1633107599999,4410543.93661970,8994,48.85272700,2315615.70376301,0
1633107600000,47553.06000000,50000.00000000,43907.30000000,47617.30000000,67.19252100,1633111199999,3190815.89028174,7730,36.11370300,1715428.41004373,0
1633111200000,47617.30000000,48168.23000000,47428.44000000,47697.38000000,58.73028200,1633114799999,2800134.39114352,7922,33.88339100,1615366.84612754,0
1633114800000,47721.21000000,48168.23000000,47707.52000000,47937.92000000,56.92983800,1633118399999,2726541.27721845,7113,32.68859800,1565504.98086687,0
1633118400000,47937.92000000,48331.92000000,43975.63000000,48095.83000000,78.85001200,1633121999999,3765173.35279921,8683,40.44191400,1934539.07723887,0
1633122000000,48094.51000000,50000.00000000,43975.63000000,48352.38000000,95.38064900,1633125599999,4595866.79728930,9872,51.05604900,2458225.67066720,0
1633125600000,48352.38000000,50000.00000000,43975.63000000,47700.00000000,82.57653100,1633129199999,3966867.80572571,10702,44.57228100,2142888.49893235,0
1633129200000,47700.00000000,50000.00000000,41442.00000000,48153.91000000,95.68650200,1633132799999,4581161.83734915,8385,49.30441500,2362809.50446007,0
1633132800000,48153.91000000,48371.70000000,43907.30000000,47824.12000000,55.90180500,1633136399999,2672967.25084265,6791,32.63012300,1559957.36876166,0
1633136400000,47815.82000000,49000.00000000,43907.30000000,47737.30000000,65.52174000,1633139999999,3134273.59463387,7330,35.99267700,1720996.55747131,0
1633140000000,47736.82000000,47954.91000000,43907.30000000,47880.00000000,54.26022800,1633143599999,2588617.06321461,6197,29.74082900,1418498.00664962,0
1633143600000,47923.95000000,48712.66000000,43907.30000000,47509.11000000,71.37543500,1633147199999,3377162.17143387,7549,40.61284000,1915153.27778399,0
1633147200000,47522.49000000,49000.00000000,43907.30000000,45927.84000000,80.16065700,1633150799999,3811603.81318905,7372,41.21186300,1959649.70207130,0
1633150800000,45927.84000000,49000.00000000,44216.78000000,47749.33000000,69.51451700,1633154399999,3311085.29200350,6443,36.76559700,1748777.33854048,0
1633154400000,47749.33000000,48712.66000000,47446.84000000,47845.38000000,60.54959400,1633157999999,2891899.69949874,5987,31.70976200,1514440.72525345,0
1633158000000,47845.38000000,48791.00000000,47700.00000000,47725.03000000,47.08785500,1633161599999,2249614.91109941,5096,24.52987200,1171803.56764339,0
1633161600000,47724.98000000,48800.00000000,44216.78000000,47706.46000000,68.55309900,1633165199999,3263172.99361576,7436,37.80450100,1798092.96219653,0
1633165200000,47706.46000000,48965.82000000,44216.78000000,47707.14000000,55.96890200,1633168799999,2674564.73340068,6305,29.59385700,1413780.46514537,0
1633168800000,47705.00000000,47766.00000000,44408.86000000,47629.19000000,30.20482000,1633172399999,1437009.76122882,4641,18.84791200,896188.88553201,0
1633172400000,47629.19000000,47723.30000000,44216.78000000,47656.46000000,25.37500200,1633175999999,1206883.00356105,4300,16.74297900,796334.02583730,0
1633176000000,47656.39000000,47781.80000000,47617.87000000,47725.90000000,32.38060200,1633179599999,1545250.98089645,4880,19.61595400,936071.69801984,0
1633179600000,47729.23000000,49000.00000000,43975.63000000,47831.19000000,67.42959200,1633183199999,3212309.59782353,7695,37.46845100,1785056.48096182,0
1633183200000,47816.00000000,49000.00000000,44459.36000000,48013.29000000,68.70311700,1633186799999,3293900.04217372,8183,39.14483700,1876173.67862711,0
1633186800000,48017.84000000,49000.00000000,44401.09000000,47832.06000000,59.14746200,1633190399999,2833190.90854795,6769,32.47583300,1554595.86198215,0
1633190400000,47832.06000000,49000.00000000,43975.63000000,48004.70000000,60.89953300,1633193999999,2910707.67227737,7132,34.74451500,1661977.49311670,0
1633194000000,48004.67000000,48400.00000000,43907.30000000,47880.00000000,31.54590400,1633197599999,1508764.26373422,4694,18.82211500,901654.04849658,0
1633197600000,47879.99000000,47927.40000000,47721.32000000,47860.34000000,18.84698200,1633201199999,901657.54577466,3991,14.25907100,682092.24345194,0
1633201200000,47860.38000000,48400.00000000,41343.30000000,48241.99000000,37.91304000,1633204799999,1817609.95830185,6105,21.40119900,1029089.53664301,0
1633204800000,48240.00000000,49000.00000000,41343.30000000,47996.24000000,60.81223600,1633208399999,2901671.07263736,7091,30.79218700,1478441.30189295,0
1633208400000,47996.24000000,49000.00000000,47918.00000000,48122.04000000,34.34655700,1633211999999,1651053.87530365,4829,19.50970200,937950.33041512,0
1633212000000,48122.50000000,50000.00000000,48047.60000000,48049.34000000,33.92368500,1633215599999,1635028.53406464,5289,20.14321300,971114.05301094,0
1633215600000,48049.33000000,150000.00000000,41343.30000000,47630.68000000,39.43572100,1633219199999,1885017.66182827,5673,25.95117100,1248114.88634048,0
1633219200000,47630.69000000,47990.67000000,40213.66000000,47267.81000000,30.23633200,1633222799999,1401424.87822706,4986,24.26311200,1122969.93177896,0
1633222800000,47272.07000000,47607.23000000,47206.73000000,47518.23000000,14.76814900,1633226399999,699794.12636474,3630,13.85226700,656383.38352273,0
1633226400000,47518.24000000,47758.86000000,47500.99000000,47621.80000000,17.12045700,1633229999999,815639.05751631,3644,12.64751200,602449.94500505,0
1633230000000,47620.37000000,47949.85000000,47532.49000000,47904.63000000,14.16592000,1633233599999,675313.27674965,3381,11.65418200,555561.31564993,0
1633233600000,47901.63000000,47952.05000000,47788.35000000,47888.92000000,11.73175100,1633237199999,561496.94805601,3066,9.21144900,440869.77735857,0
1633237200000,47888.94000000,48099.52000000,47860.97000000,47990.13000000,15.17635500,1633240799999,728647.44547120,3346,11.42270700,548346.60179702,0
1633240800000,47990.14000000,48051.69000000,47896.36000000,47968.48000000,11.18839700,1633244399999,536729.87579467,2961,8.52710300,409044.34750679,0
1633244400000,47968.48000000,47970.16000000,47814.00000000,47896.00000000,10.87495000,1633247999999,520770.30925534,3012,8.72933600,418010.24641383,0
