High,Low,H_ssa,L_ssa
43854.7,43292.96,-1416.691080473484,-2814.9220538541363
44036.24,39977.15,183.3210030751153,-7039.256835992608
70000.0,9000.0,1490.7646210805929,-8480.506542190778
49356.24,40782.46,1066.3039147667084,-4914.100212284356
50000.0,42270.2,-266.9067645597885,-1281.1467857450514
49999.92,44780.28,-1209.4676838443297,197.61381608495358
50000.0,43907.3,-783.6778907614465,-413.7022091882143
48232.57,43907.3,-6.511743662957656,-1333.6140585052608
50000.0,40782.46,278.0262435849483,-1132.6987199310506
50000.0,43907.3,198.4716004629053,13.405489847992214
50000.0,46960.0,321.080360526132,986.0904709106237
50000.0,43907.3,573.972084087226,1201.590308336632
50000.0,43907.3,224.03468827554974,995.7212270126884
48168.23,47428.44,-439.66168233040986,819.694320749318
48168.23,47707.52,-730.6838641852866,769.5567452483073
48331.92,43975.63,-342.6375824878581,669.7021944847795
50000.0,43975.63,234.5183974763739,433.8037727009864
50000.0,43975.63,436.39527548162937,179.62761935954913
50000.0,41442.0,343.8544696562594,149.88778241310862
48371.7,43907.3,102.57991451237959,353.71495950156856
49000.0,43907.3,-110.5727433213451,410.9416247865771
47954.91,43907.3,-319.00477927836243,-60.2420252413186
48712.66,43907.3,-365.50767875737,-786.1049971101559
49000.0,43907.3,178.91670369534728,-792.5343770721738
49000.0,44216.78,476.1951056514486,60.41126565209875
48712.66,47446.84,132.30360668358765,913.2309841449751
48791.0,47700.0,-503.55867276154856,892.5768892944036
48800.0,44216.78,-429.1471115714666,177.19359480391705
48965.82,44216.78,-6.508260171357051,-298.55215701894736
47766.0,44408.86,-1098.0557427902772,-76.7204267575346
47723.3,44216.78,-2439.67989157384,421.6731095326818
47781.8,47617.87,-877.7499005941709,527.7093120649812
49000.0,43975.63,4471.22591625409,87.94903790625379
49000.0,44459.36,7758.163457079299,-405.21170807987204
49000.0,44401.09,4038.9126603922023,-480.94896455030585
49000.0,43975.63,-2753.363434377978,-202.96326516993895
48400.0,43907.3,-6036.479044999685,-45.01090278552326
47927.4,47721.32,-5179.110362055623,-288.54878059845987
48400.0,41343.3,-6075.425387625498,-673.2492854194786
49000.0,41343.3,-7421.901313029785,-576.3244290957914
49000.0,47918.0,-1877.5833406974366,-35.35601118344695
50000.0,48047.6,10090.58640040006,324.7366545718618
150000.0,41343.3,17109.576408984383,261.8887176306874
47990.67,40213.66,10253.582023753763,157.18812555401198
47607.23,47206.73,-1797.3132223095845,243.1128934065673
47758.86,47500.99,-7899.579609777687,247.0778601650631
47949.85,47532.49,-7868.350955092564,76.27872515492982
47952.05,47788.35,-8331.073758020553,42.57673927250299
48099.52,47860.97,-8688.366744438688,367.74174456581346
48051.69,47896.36,-1857.321417618316,659.6215784211586
47970.16,47814.0,9014.23588472882,275.99206431732745
69000.0,36902.9,13511.569106737803,-776.5174217151196
57826.58,42270.2,7265.391720337831,-1579.7641672923778
57826.58,42270.2,-1591.1392656024802,-1426.3431546405413
54200.0,42130.38,-5385.529929902083,-353.06551294968096
48088.56,47816.9,-6240.614129677847,679.9867524285369
48440.42,47817.84,-6632.013165333926,545.8245820796249
48104.68,47894.39,-4576.511393374754,-691.6308591802344
55294.94,43975.63,2201.962071714767,-1727.6657642533553
100000.0,44216.78,8503.958665443173,-1211.0645564830886
57826.58,47700.0,7908.423240943574,574.9680589808474
54282.28,48197.57,2364.589392686812,1884.9748241769832
48950.47,48725.01,-2280.81189525894,1474.058682878508
48870.01,44918.45,-3439.589131561507,-62.30897248269033
48452.31,44918.45,-3799.373490593265,-971.1512675323853
48777.02,47446.84,-4046.014894662526,-317.8038675766819
48314.93,47869.51,-2121.8368678534334,1187.5914382179685
48280.72,47857.96,1582.3570655273177,2082.7250771793197
48171.56,47500.0,3871.456830438036,1563.7486817178706
47879.96,47581.53,2665.0060694301233,157.38265595947442
47776.23,47193.67,161.23496996227743,-845.4357061845294
48044.63,44918.45,-891.4779158265851,-548.3361660097179
47868.91,47718.71,-606.8124726068901,720.5302069270926
47812.84,47554.38,-251.737966910748,1574.0869226127797
47845.12,47487.18,-234.47260041589004,1041.7993979267883
47937.45,46538.8,184.04716187254942,-460.23462966131416
47753.62,43907.3,580.6019841950559,-1560.9521147863522
47760.0,47493.01,303.8358203617162,-1241.8406730432741
47678.62,47365.75,-314.68277961189887,33.07388894545724
47815.15,47450.01,-619.4273977608725,897.506466037853
48103.99,47686.73,-574.8152620517203,362.4873072027328
48477.61,44000.0,-953.0120571446954,-1223.5289807569375
48052.87,43907.3,-1142.7746416565665,-2376.66654653781
50000.0,43907.3,-89.81676447555645,-1983.9894473091913
51244.3,43499.4,1901.4429277102122,-431.90709591798156
57826.58,48000.0,2822.876815673044,840.376979264701
49832.09,48893.44,1481.3866519511048,679.8353651744137
49788.71,47000.0,-548.0881061232501,-571.581467649262
52510.13,42473.32,-1496.6665804267188,-1526.5989440503236
49040.9,48694.71,-1472.6078576443374,-1049.7221021605917
49440.79,48900.24,-1779.8413037407738,481.41751342224734
49777.39,49046.76,-1953.2199866363953,1887.897265503449
49595.98,49169.04,-313.04562111859417,2148.623532095161
49374.01,49051.55,2365.389289312712,1154.7286786440964
69586.94,43907.3,3441.8882300386103,-35.253419934128765
49346.81,49027.02,1592.4496728571191,-224.9850002284719
49407.86,49138.79,-784.4102804884233,712.1833609610983
49470.0,49257.0,-1557.3743865249846,2006.9875494813602
49645.55,49251.84,-1590.2208277145248,2513.1621333867943
49949.99,49386.74,-1885.7529187400703,1634.8562963584095
50296.23,49561.52,-1440.0709665386682,-11.385761511655197
51677.0,49130.0,1250.713783067264,-1142.3051912275228
50140.75,37752.5,3943.40978179541,-870.1876531410276
50090.0,49705.01,3386.0250316096867,450.53330621998816
50302.78,49559.25,236.2356725805978,1086.7660186829125
50355.73,49600.01,-2149.3283037798383,44.36765915228558
50231.65,37752.5,-2336.5776134471876,-1799.9333244383092
50109.06,49647.13,-2638.4231578065032,-2584.962698045049
50199.04,37752.5,-3287.2929122988994,-1787.3350480622203
50737.97,49680.03,-1742.446951356906,-239.43597494855305
51411.0,50500.0,2508.193676957349,334.0544232163177
90000.0,37752.5,5687.816036462713,-420.86066199945947
57826.58,51253.21,4047.5408674427326,-1162.002146480863
53230.0,45927.85,71.95016077775358,-879.9790179504432
57826.58,37752.5,-2165.915889522312,505.27962251111603
51600.0,51201.66,-1901.625297191801,1937.3004642174528
57826.58,45097.56,-1495.405411306281,2106.968365788982
51589.51,42599.03,-1679.3113768384214,1265.6482806226948
51600.02,51300.0,-547.5923056762169,658.4553781258293
51582.0,51238.04,1659.5953127711125,910.6945758699279
51826.0,51198.71,2758.9851054442133,1592.7527171265215
51713.31,51453.3,1173.1722673663692,1597.0810349369563
51562.15,51207.33,-1396.5945486165183,438.3372283803708
51497.42,41370.89,-2573.408588290193,-1130.787012896928
50817.64,40932.69,-2038.3051525473406,-2099.80089450155
57826.58,42599.03,-530.7330522597572,-2380.6271174626777
55548.1,40782.46,858.4181762666753,-2591.6616316343916
69999.99,40782.46,1914.8920557171448,-3018.9510647952857
61873.42,40782.46,2154.400030845678,-3447.3478530523653
61873.42,40782.46,1589.4207509307032,-3449.0684190611914
62126.58,40782.46,545.6655078489704,-3039.3147808890253
58343.44,40782.46,-685.1083964045994,-2550.5868412918267
58343.44,40782.46,-1554.7461249058877,-2134.778911657754
55097.99,45000.0,-1818.2817783210555,-1684.0691329612864
57569.62,54514.47,-1176.7355317145702,-918.4314310136409
55367.05,50499.4,-171.65843300937559,290.1107139045278
55263.14,54884.11,545.4322665451172,1643.5504431238408
55251.3,54899.01,731.4892863431008,2338.844772570257
55741.36,55119.09,612.5004405382747,1997.5022016763392
55701.12,45000.0,591.3503246056184,1171.6327367636877
54905.67,47189.87,305.6868605075429,965.6516978530599
55219.92,54685.51,-232.9782456164682,1752.4080754836148
55215.59,54260.57,-657.1515847729786,2781.189846210418
55226.09,54762.46,-399.8794631710198,3032.673315735952
55073.16,54531.65,122.1806515619719,2060.5138710863066
54962.0,54302.58,-222.62161541677995,413.34055665682786
54871.21,51217.36,-859.8651813460622,-725.7615350808736
54781.61,46177.22,-231.1953084413268,-443.5722338539132
54541.05,51746.84,2039.5274886012498,912.7810816600197
54427.8,53726.32,3229.8471483251706,1816.16978402301
54360.24,53415.89,1280.8288689050928,1215.2058609050591
54353.69,53600.0,-1237.392607821323,-386.5200212675748
54689.82,53772.16,-2249.409736416835,-1523.4490113506263
54674.46,53415.89,-2299.2908319241023,-1135.1611457751583
58343.44,53659.0,-3553.511370992699,503.2787984519175
54300.03,53415.89,-3827.7028421087316,1902.9193018584429
54306.02,54017.96,-331.9777351564227,1722.408707762017
60000.0,53829.55,3543.557968513852,25.954985628793708
100000.0,42599.03,4126.560580282077,-1574.8694619347248
54615.04,53834.52,2537.012688662012,-1232.9297524248327
